"Indicator type","Indicator","Description"
"IPv4","218.92.0.237",""
"IPv4","218.92.0.134",""
"IPv4","218.92.0.231",""
"IPv4","218.92.0.231",""
"IPv4","218.92.0.134",""
"IPv4","119.96.158.87",""
"IPv4","174.138.29.77",""
"IPv4","45.194.37.134",""
"IPv4","218.92.0.227",""
"IPv4","59.3.76.218",""
"IPv4","103.81.86.208",""
"IPv4","14.225.3.79",""
"IPv4","218.92.0.219",""
"IPv4","51.68.126.207",""
"IPv4","101.89.186.252",""
"IPv4","222.253.40.231",""
"IPv4","175.29.17.249",""
"IPv4","151.80.118.222",""
"IPv4","175.205.197.156",""
"IPv4","218.92.0.198",""
"IPv4","193.32.162.137",""
"IPv4","218.92.0.236",""
"IPv4","125.124.209.172",""
"IPv4","192.210.149.60",""
"IPv4","120.48.134.115",""
"IPv4","91.239.9.195",""
"IPv4","106.58.187.101",""
"IPv4","119.246.15.94",""
"IPv4","183.102.43.62",""
"IPv4","2.57.122.193",""
"IPv4","130.61.146.193",""
"IPv4","60.53.240.34",""
"IPv4","45.143.100.57",""
"IPv4","157.245.102.226",""
"IPv4","27.254.149.199",""
"IPv4","218.92.0.229",""
"IPv4","218.92.0.229",""
"IPv4","218.92.0.232",""
"IPv4","218.92.0.232",""
"IPv4","218.92.0.134",""
"IPv4","79.33.34.194",""
"IPv4","179.33.186.151",""
"IPv4","14.103.111.11",""
"IPv4","179.33.186.151",""
"IPv4","156.240.121.65",""
"IPv4","218.92.0.134",""
"IPv4","1.27.251.99",""
"IPv4","92.118.39.86",""
"IPv4","92.118.39.86",""
"IPv4","218.92.0.228",""
"IPv4","107.173.38.16",""
"IPv4","158.51.124.56",""
"IPv4","153.37.192.4",""
"IPv4","82.207.8.242",""
"IPv4","118.41.246.179",""
"IPv4","2.57.122.195",""
"IPv4","159.89.161.126",""
"IPv4","92.118.39.86",""
"IPv4","179.33.210.213",""
"IPv4","191.242.105.131",""
"IPv4","207.54.149.118",""
"IPv4","187.45.100.0",""
"IPv4","218.92.0.225",""
"IPv4","103.187.147.214",""
"IPv4","92.118.39.86",""
"IPv4","92.118.39.86",""
"IPv4","218.92.0.237",""
"IPv4","36.64.68.99",""
"IPv4","221.225.83.45",""
"IPv4","92.118.39.86",""
"IPv4","36.138.61.172",""
"IPv4","213.6.203.226",""
"IPv4","183.246.90.75",""
"IPv4","213.6.203.226",""
"IPv4","2.57.122.195",""
"IPv4","222.107.156.227",""
"IPv4","222.107.156.227",""
"IPv4","155.4.144.24",""
"IPv4","218.92.0.225",""
"IPv4","218.92.0.229",""
"IPv4","196.251.87.54",""
"IPv4","218.92.0.221",""
"IPv4","218.92.0.236",""
"IPv4","194.107.115.132",""
"IPv4","140.249.199.13",""
"IPv4","194.107.115.132",""
"IPv4","103.189.234.75",""
"IPv4","103.189.234.75",""
"IPv4","51.75.170.22",""
"IPv4","218.92.0.134",""
"IPv4","172.245.106.166",""
"IPv4","180.106.83.59",""
"IPv4","92.118.39.74",""
"IPv4","45.93.20.222",""
"IPv4","194.190.153.226",""
"IPv4","146.190.53.96",""
"IPv4","103.4.145.50",""
"IPv4","189.126.4.42",""
"IPv4","64.225.55.168",""
"IPv4","175.29.17.250",""
"IPv4","186.31.95.163",""
"IPv4","218.92.0.237",""
"IPv4","103.112.131.70",""
"IPv4","14.103.161.188",""
"IPv4","182.253.156.184",""
"IPv4","175.215.143.90",""
"IPv4","92.118.39.71",""
"IPv4","154.57.143.188",""
"IPv4","218.92.0.222",""
"IPv4","218.92.0.222",""
"IPv4","51.68.137.240",""
"IPv4","202.72.235.223",""
"IPv4","208.109.38.114",""
"IPv4","125.124.114.150",""
"IPv4","128.199.214.193",""
"IPv4","125.91.34.106",""
"IPv4","91.228.127.246",""
"IPv4","103.172.204.219",""
"IPv4","157.245.88.137",""
"IPv4","51.178.141.222",""
"IPv4","193.233.203.220",""
"IPv4","64.227.149.214",""
"IPv4","218.92.0.112",""
"IPv4","162.240.238.27",""
"IPv4","163.172.144.216",""
"IPv4","218.92.0.232",""
"IPv4","83.235.21.125",""
"IPv4","218.92.0.221",""
"IPv4","218.92.0.221",""
"IPv4","181.174.224.99",""
"IPv4","218.92.0.134",""
"IPv4","154.57.143.195",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.114",""
"IPv4","218.92.0.134",""
"IPv4","196.251.84.225",""
"IPv4","193.32.162.130",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.231",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.143",""
"IPv4","45.119.212.196",""
"IPv4","218.92.0.153",""
"IPv4","92.118.39.76",""
"IPv4","46.146.225.158",""
"IPv4","92.118.39.76",""
"IPv4","92.118.39.76",""
"IPv4","218.92.0.225",""
"IPv4","218.92.0.233",""
"IPv4","103.134.154.72",""
"IPv4","218.92.0.233",""
"IPv4","103.157.224.104",""
"IPv4","143.110.246.102",""
"IPv4","92.118.39.76",""
"IPv4","218.92.0.235",""
"IPv4","27.254.163.61",""
"IPv4","51.75.64.35",""
"IPv4","36.255.220.76",""
"IPv4","198.24.79.245",""
"IPv4","2.57.122.191",""
"IPv4","218.92.0.198",""
"IPv4","45.40.138.101",""
"IPv4","45.148.10.240",""
"IPv4","94.142.139.34",""
"IPv4","103.237.144.204",""
"IPv4","36.93.247.226",""
"IPv4","195.178.110.65",""
"IPv4","195.178.110.65",""
"IPv4","195.178.110.65",""
"IPv4","195.178.110.65",""
"IPv4","172.174.72.225",""
"IPv4","142.93.218.158",""
"IPv4","36.64.68.99",""
"IPv4","195.178.110.65",""
"IPv4","103.189.234.75",""
"IPv4","195.178.110.65",""
"IPv4","195.178.110.65",""
"IPv4","128.199.168.119",""
"IPv4","113.176.107.15",""
"IPv4","58.211.191.14",""
"IPv4","218.92.0.231",""
"IPv4","120.226.84.116",""
"IPv4","218.92.0.111",""
"IPv4","195.178.110.65",""
"IPv4","218.92.0.198",""
"IPv4","218.150.246.42",""
"IPv4","218.92.0.231",""
"IPv4","193.32.162.132",""
"IPv4","66.69.46.67",""
"IPv4","137.184.165.55",""
"IPv4","51.195.138.37",""
"IPv4","190.104.3.139",""
"IPv4","84.241.22.251",""
"IPv4","164.152.61.233",""
"IPv4","122.155.223.2",""
"IPv4","37.148.206.165",""
"IPv4","62.99.74.172",""
"IPv4","58.49.221.43",""
"IPv4","92.118.39.74",""
"IPv4","92.118.39.74",""
"IPv4","218.92.0.112",""
"IPv4","218.92.0.112",""
"IPv4","8.222.180.222",""
"IPv4","103.140.73.104",""
"IPv4","103.174.115.99",""
"IPv4","103.140.73.104",""
"IPv4","116.172.130.191",""
"IPv4","193.32.162.134",""
"IPv4","218.92.0.236",""
"IPv4","218.92.0.236",""
"IPv4","218.92.0.236",""
"IPv4","194.0.234.149",""
"IPv4","96.92.63.243",""
"IPv4","103.140.73.104",""
"IPv4","187.212.41.49",""
"IPv4","103.182.132.154",""
"IPv4","218.92.0.235",""
"IPv4","180.76.121.98",""
"IPv4","218.92.0.134",""
"IPv4","218.92.0.111",""
"IPv4","70.67.112.115",""
"IPv4","45.119.14.129",""
"IPv4","2.57.122.196",""
"IPv4","213.225.36.187",""
"IPv4","2.57.122.196",""
"IPv4","119.204.199.162",""
"IPv4","114.130.56.193",""
"IPv4","218.92.0.216",""
"IPv4","218.92.0.216",""
"IPv4","218.92.0.112",""
"IPv4","114.96.71.150",""
"IPv4","195.178.110.76",""
"IPv4","186.23.212.215",""
"IPv4","194.0.234.107",""
"IPv4","218.92.0.198",""
"IPv4","103.176.79.210",""
"IPv4","202.157.177.33",""
"IPv4","80.94.95.112",""
"IPv4","135.125.200.99",""
"IPv4","121.228.31.111",""
"IPv4","218.92.0.235",""
"IPv4","218.92.0.236",""
"IPv4","153.37.192.4",""
"IPv4","218.92.0.221",""
"IPv4","218.92.0.221",""
"IPv4","218.92.0.134",""
"IPv4","61.171.87.26",""
"IPv4","162.243.168.76",""
"IPv4","218.92.0.134",""
"IPv4","218.92.0.114",""
"IPv4","85.9.102.65",""
"IPv4","218.92.0.226",""
"IPv4","211.240.117.30",""
"IPv4","218.92.0.236",""
"IPv4","218.92.0.237",""
"IPv4","135.125.133.180",""
"IPv4","103.124.196.184",""
"IPv4","54.38.190.246",""
"IPv4","79.137.36.161",""
"IPv4","161.35.223.68",""
"IPv4","185.213.164.15",""
"IPv4","115.151.72.153",""
"IPv4","218.92.0.219",""
"IPv4","222.223.62.8",""
"IPv4","103.193.178.246",""
"IPv4","144.34.181.88",""
"IPv4","174.138.28.47",""
"IPv4","62.99.74.172",""
"IPv4","136.232.203.134",""
"IPv4","59.97.205.137",""
"IPv4","80.94.95.112",""
"IPv4","195.178.110.76",""
"IPv4","167.71.228.77",""
"IPv4","157.245.99.182",""
"IPv4","62.169.25.193",""
"IPv4","218.92.0.226",""
"IPv4","218.92.0.226",""
"IPv4","14.241.229.103",""
"IPv4","179.107.107.139",""
"IPv4","45.164.39.253",""
